Thématiques,Critères,Accueil (non connecté),Accueil (connecté),Je suis candidat (connecté),Candidat (connecté) - Je saisis mes infos personnelles,Candidat (connecté) - Je remplis mon panier de formations,Candidat (connecté) - Les établissements examinent mes candidatures,Je suis accepté (connecté),Je finalise ma procédure (connecté),Ma messagerie (connecté),Mon compte,Je trouve ma formation,Je créée mon compte,
1,1,c,c,c,c,nc,c,c,c,nc,c,c,c,
1,2,nc | Les images de décoration ont une alternative textuelle qui peut être restituée.,na,nc,na,na,nc,nc,na,na,na,na,na,
1,3,nc | Pertinence des alternatives textuelles à corriger,nc | Pertinence des alternatives textuelles à corriger,nc | Pertinence des alternatives textuelles à corriger,nc | Pertinence des alternatives textuelles à corriger,nc | Pertinence des alternatives textuelles à corriger,nc | Pertinence des alternatives textuelles à corriger,nc | Pertinence des alternatives textuelles à corriger,nc | Pertinence des alternatives textuelles à corriger,nc | Pertinence des alternatives textuelles à corriger,nc | Pertinence des alternatives textuelles à corriger,nc | Pertinence des alternatives textuelles à corriger,nc | Pertinence des alternatives textuelles à corriger,
1,4,na,na,na,na,na,na,na,na,na,na,na,na,
1,5,na,na,na,na,na,na,na,na,na,na,na,na,
1,6,na,na,na,na,na,na,na,na,na,na,na,na,
1,7,na,na,na,na,na,na,na,na,na,na,na,na,
1,8,na,na,na,na,na,na,na,na,na,na,na,na,
1,9,na,na,na,na,na,na,na,na,na,na,na,na,
2,1,na,na,na,na,na,na,na,na,na,na,na,na,
2,2,na,na,na,na,na,na,na,na,na,na,na,na,
3,1,c,c,c,c,c,c,c,c,c,c,c,c,
3,2,c,nc,nc,nc,nc,nc,nc,nc,c,c,c,c,
3,3,c,c,c,c,c,c,c,c,c,c,c,c,
4,1,na,na,na,na,na,na,na,na,na,na,na,na,
4,2,na,na,na,na,na,na,na,na,na,na,na,na,
4,3,na,na,na,na,na,na,na,na,na,na,na,na,
4,4,na,na,na,na,na,na,na,na,na,na,na,na,
4,5,na,na,na,na,na,na,na,na,na,na,na,na,
4,6,na,na,na,na,na,na,na,na,na,na,na,na,
4,7,na,na,na,na,na,na,na,na,na,na,na,na,
4,8,na,na,na,na,na,na,na,na,na,na,na,na,
4,9,na,na,na,na,na,na,na,na,na,na,na,na,
4,10,na,na,na,na,na,na,na,na,na,na,na,na,
4,11,na,na,na,na,na,na,na,na,na,na,na,na,
4,12,na,na,na,na,na,na,na,na,na,na,na,na,
4,13,na,na,na,na,na,na,na,na,na,na,na,na,
5,1,na,na,na,na,na,na,na,na,na,na,na,na,
5,2,na,na,na,na,na,na,na,na,na,na,na,na,
5,3,na,na,c,c,c,c,na,na,na,na,na,na,
5,4,na,na,c,c,c,c,na,na,na,na,na,na,
5,5,na,na,c,c,c,c,na,na,na,na,na,na,
5,6,na,na,c,nc,c,c,na,na,na,na,na,na,
5,7,na,na,c,c,c,c,na,na,na,na,na,na,
5,8,na,na,na,nc,na,c,na,na,na,na,na,na,
6,1,nc | Les liens ne sont pas explicites et les icônes CSS peuvent être restituées par les lecteurs d'écran.,nc | Les liens ne sont pas explicites et les icônes CSS peuvent être restituées par les lecteurs d'écran.,nc | Les liens ne sont pas explicites et les icônes CSS peuvent être restituées par les lecteurs d'écran.,nc | Les liens ne sont pas explicites et les icônes CSS peuvent être restituées par les lecteurs d'écran.,nc | Les liens ne sont pas explicites et les icônes CSS peuvent être restituées par les lecteurs d'écran.,nc | Les liens ne sont pas explicites et les icônes CSS peuvent être restituées par les lecteurs d'écran.,nc | Les liens ne sont pas explicites et les icônes CSS peuvent être restituées par les lecteurs d'écran.,nc | Les liens ne sont pas explicites et les icônes CSS peuvent être restituées par les lecteurs d'écran.,nc | Les liens ne sont pas explicites et les icônes CSS peuvent être restituées par les lecteurs d'écran.,nc | Les liens ne sont pas explicites et les icônes CSS peuvent être restituées par les lecteurs d'écran.,nc | Les liens ne sont pas explicites et les icônes CSS peuvent être restituées par les lecteurs d'écran.,nc | Les liens ne sont pas explicites et les icônes CSS peuvent être restituées par les lecteurs d'écran.,
6,2,nc | Absence d'intitulés sur les logos / liens,nc | Absence d'intitulés sur les logos / liens,nc | Absence d'intitulés sur les logos / liens,nc | Absence d'intitulés sur les logos / liens,nc | Absence d'intitulés sur les logos / liens,nc | Absence d'intitulés sur les logos / liens,nc | Absence d'intitulés sur les logos / liens,nc | Absence d'intitulés sur les logos / liens,nc | Absence d'intitulés sur les logos / liens,nc | Absence d'intitulés sur les logos / liens,nc | Absence d'intitulés sur les logos / liens,nc | Absence d'intitulés sur les logos / liens,
7,1,"nc | Intitulés de boutons qui ne sont pas explicites, Icônes CSS qui peuvent être restituées par les lecteurs d'écran",nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,
7,2,na,na,na,na,na,na,na,na,na,na,na,na,
7,3,c,c,c,c,c,c,c,c,nc,c,nc,c,
7,4,na,na,na,na,na,na,na,na,nc,na,na,nc,
7,5,na,na,na,na,na,na,na,na,nc,na,na,na,
8,1,c,c,c,c,c,c,c,c,c,c,c,c,
8,2,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,
8,3,c,c,c,c,c,c,c,c,c,c,c,c,
8,4,c,c,c,c,c,c,c,c,c,c,c,c,
8,5,c,c,c,c,c,c,c,c,c,c,c,c,
8,6,c,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,
8,7,na,na,na,nc,na,na,na,na,na,na,na,nc,
8,8,na,na,na,na,na,na,na,na,na,na,na,na,
8,9,nc,nc,nc,nc,nc,nc,nc,nc,c,nc,nc,nc,
8,10,na,na,na,na,na,na,na,na,na,na,na,na,
9,1,c,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,c,
9,2,nc | La hiérarchie des titres ne correspond pas au contenu de la page,na,na,na,na,na,na,na,na,na,na,nc,
9,3,c,nc,nc,c,c,c,nc,c,c,c,nc,c,
9,4,na,na,na,na,na,na,na,na,na,na,na,na,
10,1,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,
10,2,c,c,c,c,c,c,c,c,c,c,c,c,
10,3,c,c,c,c,c,c,c,c,c,c,c,c,
10,4,c,c,c,c,c,c,c,c,c,c,c,c,
10,5,c,c,c,c,c,c,c,c,c,c,c,c,
10,6,na,na,na,c,na,c,na,na,na,na,na,na,
10,7,c,c,c,c,c,c,c,c,c,c,nc,c,
10,8,c,c,c,c,c,c,c,c,c,c,c,c,
10,9,na,c,c,c,c,c,c,c,c,c,c,c,
10,10,na,c,c,c,c,c,c,c,c,c,c,c,
10,11,c,c,nc,c,nc,nc,c,c,c,c,c,c,
10,12,c,c,c,c,c,c,c,c,c,c,c,c,
10,13,na,na,na,na,na,na,na,na,na,na,na,na,
10,14,na,na,na,na,na,na,na,na,na,na,na,na,
11,1,c,na,na,na,na,na,na,nc,nc,c,c,nc,
11,2,c,na,na,na,na,na,na,na,c,c,c,c,
11,3,na,na,na,na,na,na,na,nc,na,na,na,na,
11,4,c,na,na,na,na,na,na,c,c,c,c,c,
11,5,na,na,na,na,na,na,nc,nc,c,na,c,c,
11,6,na,na,na,na,na,na,na,nc,nc,na,nc,c,
11,7,na,na,na,na,na,na,na,na,na,na,na,na,
11,8,na,na,na,na,na,na,na,na,na,na,na,na,
11,9,nc,na,na,na,na,na,na,c,nc,c,c,c,
11,10,nc,na,na,na,nc,na,na,nc,nc,nc,nc,nc,
11,11,nc | Indiquer le format attendu des champs de formulaire,na,na,na,na,na,na,nc,nc,nc,nc,nc,
11,12,na,na,na,na,na,na,na,na,na,na,na,na,
11,13,nc | Absence de l'attribut `autocomplete`,na,na,na,na,na,na,na,na,nc,na,nc,
12,1,nc | Absence de second moyen de navigation,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,
12,2,c,c,c,c,c,c,c,c,c,c,c,c,
12,3,na,na,na,na,na,na,na,na,na,na,na,na,
12,4,na,na,na,na,na,na,na,na,na,na,na,na,
12,5,na,na,na,na,na,na,na,na,na,na,na,na,
12,6,"nc | Absence de `role=""navigation""` et `role=main""`, `role=""banner""` en doublon",nc,nc,nc,nc,nc,nc,na,nc,nc,nc,nc,
12,7,nc | Absence de liens d'évitement,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,
12,8,c,c,nc,nc,nc,c,c,c,nc,c,nc,c,
12,9,c,c,c,c,c,c,c,c,c,c,c,c,
12,10,na,na,na,na,na,na,na,na,na,na,na,na,
12,11,na,c,c,c,na,na,na,na,na,na,na,na,
13,1,na,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,
13,2,c,c,c,c,c,c,c,c,c,c,c,c,
13,3,na,na,na,na,na,na,nc,na,na,na,na,na,
13,4,na,na,na,na,na,na,na,na,na,na,na,na,
13,5,na,na,na,na,na,na,na,na,na,na,na,na,
13,6,na,na,na,na,na,na,na,na,na,na,na,na,
13,7,na,na,na,na,na,na,na,na,na,na,na,na,
13,8,na,na,na,na,na,na,na,na,na,na,na,na,
13,9,c,c,c,c,nc,c,c,c,c,c,c,c,
13,10,na,na,na,na,na,na,na,na,na,na,na,na,
13,11,c,c,c,c,c,c,c,c,c,c,c,c,
13,12,na,na,na,na,na,na,na,na,na,na,na,na,
